t,RCoutput
1.045800000000000000e+04,-7.133547604102430384e-01
1.045900000000000000e+04,-3.566256055425318650e-01
1.046000000000000000e+04,-1.020696338663559910e+00
1.046100000000000000e+04,3.935007006907378369e-01
1.046200000000000000e+04,-1.050305706498824598e+00
1.046300000000000000e+04,7.590074444177457025e-01
1.046400000000000000e+04,-5.162669478935963951e-01
1.046500000000000000e+04,-3.492192393523403382e-01
1.046600000000000000e+04,-9.016137724798616304e-01
1.046700000000000000e+04,9.222630155123701101e-02
1.046800000000000000e+04,-1.280696678805965050e+00
1.046900000000000000e+04,1.271095899173486199e+00
1.047000000000000000e+04,8.638419245655342138e-01
1.047100000000000000e+04,3.153725951701473740e-01
1.047200000000000000e+04,-5.786464519939338302e-01
1.047300000000000000e+04,-4.215629761936900977e-01
1.047400000000000000e+04,-9.747634516031788987e-01
1.047500000000000000e+04,4.359851043917295499e-02
1.047600000000000000e+04,-1.337896698470637524e+00
1.047700000000000000e+04,1.369317873718913781e+00
1.047800000000000000e+04,1.207118954674714750e+00
1.047900000000000000e+04,1.107655944311412455e+00
1.048000000000000000e+04,8.264922193912997983e-01
1.048100000000000000e+04,-2.797797353767714768e-01
1.048200000000000000e+04,-5.193834702205624154e-02
1.048300000000000000e+04,-1.038616140250412379e-01
1.048400000000000000e+04,-3.827946581840446783e-02
1.048500000000000000e+04,-4.413291697809711422e-01
1.048600000000000000e+04,-3.090341233697184720e-01
1.048700000000000000e+04,-4.860228593642532680e-01
1.048800000000000000e+04,5.513353062659742676e-02
1.048900000000000000e+04,-4.350964528213960847e-01
1.049000000000000000e+04,1.478416727657825280e-01
1.049100000000000000e+04,-6.829318516424711660e-01
1.049200000000000000e+04,3.103706973890743015e-01
1.049300000000000000e+04,-1.072979033401786353e+00
1.049400000000000000e+04,5.282803916038707470e-01
1.049500000000000000e+04,-9.369376490373868549e-01
1.049600000000000000e+04,2.430284368413970775e-01
1.049700000000000000e+04,-1.098354657183771454e+00
1.049800000000000000e+04,8.087661848019447319e-01
1.049900000000000000e+04,-3.834089650896084223e-01
1.050000000000000000e+04,-5.146846128874180692e-01
1.050100000000000000e+04,-7.396614755932406915e-01
1.050200000000000000e+04,-3.813017844509811738e-01
1.050300000000000000e+04,-1.011411376017035124e+00
1.050400000000000000e+04,3.139014562720934265e-01
1.050500000000000000e+04,-1.180623383371191437e+00
1.050600000000000000e+04,1.044316928758433960e+00
1.050700000000000000e+04,1.510768730042926222e-01
1.050800000000000000e+04,-6.487831089070690282e-01
1.050900000000000000e+04,-3.765339551050486122e-01
1.051000000000000000e+04,-9.872875432387235861e-01
1.051100000000000000e+04,2.946354448208516885e-01
1.051200000000000000e+04,-1.157673011010978747e+00
1.051300000000000000e+04,1.001890333294341406e+00
1.051400000000000000e+04,6.925977906759950287e-02
1.051500000000000000e+04,-6.796995840993877991e-01
1.051600000000000000e+04,-3.368341894467512532e-01
1.051700000000000000e+04,-1.043168890946026828e+00
1.051800000000000000e+04,4.231722734252540974e-01
1.051900000000000000e+04,-1.050851316491847598e+00
1.052000000000000000e+04,6.847087662536996966e-01
1.052100000000000000e+04,-6.407838431946837332e-01
1.052200000000000000e+04,-2.053505870024450175e-01
1.052300000000000000e+04,-1.145713742523882583e+00
1.052400000000000000e+04,7.451818702790165005e-01
1.052500000000000000e+04,-5.539037983789443231e-01
1.052600000000000000e+04,-3.664356164681152883e-01
1.052700000000000000e+04,-9.705331088467932243e-01
1.052800000000000000e+04,2.115230348014027761e-01
1.052900000000000000e+04,-1.273372213137378139e+00
1.053000000000000000e+04,1.266409537908711247e+00
1.053100000000000000e+04,9.134830855093110102e-01
1.053200000000000000e+04,4.729694831196686877e-01
1.053300000000000000e+04,-3.566395415912877453e-01
1.053400000000000000e+04,-6.615403018295964443e-01
1.053500000000000000e+04,-5.608814712212195630e-01
1.053600000000000000e+04,-8.862731105669103826e-01
1.053700000000000000e+04,-2.643711484495909758e-01
1.053800000000000000e+04,-1.182263640961816797e+00
1.053900000000000000e+04,8.838537333219820269e-01
1.054000000000000000e+04,-2.458452120360918869e-01
1.054100000000000000e+04,-6.776019649721298777e-01
1.054200000000000000e+04,-4.549965260625246088e-01
1.054300000000000000e+04,-8.959760911315051146e-01
1.054400000000000000e+04,3.838030452742424714e-02
1.054500000000000000e+04,-1.281591889135837548e+00
1.054600000000000000e+04,1.278809963652471016e+00
1.054700000000000000e+04,9.061093619831694923e-01
1.054800000000000000e+04,4.837555920690199684e-01
1.054900000000000000e+04,-4.042506378209012041e-01
1.055000000000000000e+04,-6.705325452971271361e-01
1.055100000000000000e+04,-5.930663278013614814e-01
1.055200000000000000e+04,-8.284499719500146853e-01
1.055300000000000000e+04,-3.409833300693438929e-01
1.055400000000000000e+04,-1.076930617389050049e+00
1.055500000000000000e+04,6.056022344460680884e-01
1.055600000000000000e+04,-8.286398146330644643e-01
1.055700000000000000e+04,1.437043242901268059e-01
1.055800000000000000e+04,-1.219749083134834988e+00
1.055900000000000000e+04,1.121007811213467154e+00
1.056000000000000000e+04,3.516549527808958686e-01
1.056100000000000000e+04,-5.103256665118243163e-01
1.056200000000000000e+04,-5.717117625481185073e-01
1.056300000000000000e+04,-7.336456143780267780e-01
1.056400000000000000e+04,-4.833800036488540286e-01
1.056500000000000000e+04,-9.019631163326509160e-01
1.056600000000000000e+04,4.185445237595342149e-03
1.056700000000000000e+04,-1.361543502747299961e+00
1.056800000000000000e+04,1.491307975364673410e+00
1.056900000000000000e+04,1.622501538200458171e+00
1.057000000000000000e+04,2.171821077116953269e+00
1.057100000000000000e+04,2.439915382102904928e+00
1.057200000000000000e+04,7.616741234309474251e-01
1.057300000000000000e+04,1.065261712037509412e+00
1.057400000000000000e+04,-1.061535278064114962e+00
1.057500000000000000e+04,5.962346973969356867e-01
1.057600000000000000e+04,-8.648331384503453734e-01
1.057700000000000000e+04,9.082299606803099223e-01
1.057800000000000000e+04,-5.569339715821901571e-01
1.057900000000000000e+04,3.237592687619539333e-01
1.058000000000000000e+04,-3.378160612983367450e-01
1.058100000000000000e+04,6.630816447335252661e-01
1.058200000000000000e+04,-2.768727550444860519e-01
1.058300000000000000e+04,6.531346066177092791e-01
1.058400000000000000e+04,-3.988527365757308374e-01
1.058500000000000000e+04,8.426932564467021214e-01
1.058600000000000000e+04,-5.504085814025838630e-01
1.058700000000000000e+04,8.364903223297752710e-01
1.058800000000000000e+04,-2.008071831131466034e-01
1.058900000000000000e+04,1.137260354314162836e+00
1.059000000000000000e+04,-8.483835562681205644e-01
1.059100000000000000e+04,2.398600283128384802e-01
1.059200000000000000e+04,6.944399339229718748e-01
1.059300000000000000e+04,4.774241322109498142e-01
